DateTime,AddedIPs,RemovedIPs
1578251789,0,3
1578257542,0,1
1578275805,1,0
1578277714,0,2
1578283966,0,1
1578289725,0,1
1578293538,1,0
1578295487,1,0
1578297395,1,0
1578301489,1,0
1578303419,1,0
1578305321,2,0
1578307251,4,0
1578319544,0,1
1578321641,0,2
1578323808,1,1
1578325732,0,1
1578329793,1,0
1578331710,1,0
1578333919,0,1
1578349953,1,0
1578351933,0,1
1578355801,1,0
1578357867,1,0
1578359801,3,0
1578363613,1,1
1578365534,0,1
1578367462,1,0
1578375406,1,0
1578384973,1,0
1578390992,0,1
1578393143,0,2
1578402777,1,0
1578408526,0,1
1578414280,0,1
1578416194,0,2
1578418120,0,1
1578420325,1,5
1578422428,1,0
1578426255,1,0
1578428178,6,0
1578430113,2,0
1578434175,1,0
1578438322,1,1
1578442362,0,1
1578444323,3,0
1578446419,0,1
1578454112,0,1
1578457257,0,1
1578463047,0,1
1578464903,0,1
1578469304,0,1
1578471390,1,0
1578486020,1,1
1578489873,0,1
1578493965,1,0
1578497781,1,0
1578509317,1,0
1578511237,0,2
1578513147,1,0
1578515086,0,1
1578518932,1,1
1578527063,1,1
1578530920,0,3
1578538601,0,1
1578540501,0,1
1578552264,1,0
1578558058,1,1
1578565709,1,0
1578573756,1,1
1578575802,2,0
1578579908,0,1
1578585948,0,1
1578587819,0,1
1578599603,0,1
1578601493,0,3
1578603413,0,2
1578607509,0,1
1578619479,0,1
1578635800,0,1
1578640850,0,1
1578647253,1,0
1578649609,1,0
1578651750,0,1
1578659805,1,0
1578661781,0,3
1578663673,0,1
1578671096,0,1
1578713063,2,0
1578715004,1,0
1578731294,0,1
1578733326,0,1
1578752909,0,1
1578760819,1,0
1578788195,2,0
1578798410,0,1
1578800414,0,1
1578802355,0,1
1578811951,1,1
1578847464,1,1
1578859508,2,0
1578863793,1,0
1578875810,0,1
1578894988,0,1
1578901957,1,0
1578907954,1,0
1578923582,1,0
1578934122,0,1
1578936059,1,0
1578937956,1,0
1578941786,1,0
1578945991,0,2
1578951637,0,1
1578970125,1,0
1578981750,0,1
1578983572,1,0
1578985733,0,2
1578991498,0,1
1578997462,0,3
1578999403,0,2
1579001318,0,1
1579004416,1,0
1579006339,1,0
1579008302,1,0
1579010176,1,1
1579012344,1,0
1579024158,5,3
1579026045,3,0
1579031817,7,0
1579038029,0,1
1579071138,0,1
1579074979,0,1
1579081243,2,0
1579083394,1,0
1579093605,1,1
1579101408,0,1
1579105275,1,0
1579109064,1,0
1579110998,0,3
1579112920,0,3
1579115119,1,0
1579116996,1,0
1579118929,1,1
1579120821,5,0
1579122781,1,0
1579127249,3,0
1579135219,0,1
1579156607,0,1
1579160450,1,0
1579166439,0,1
1579168346,0,1
1579170285,1,0
1579180357,0,2
1579184487,1,0
1579188261,1,0
1579190221,1,0
1579192098,0,1
1579194348,0,1
1579202185,0,1
1579206024,0,2
1579207954,0,4
1579211778,0,1
1579213964,0,2
1579227430,1,0
1579243220,0,1
1579270620,1,1
1579274678,0,1
1579294345,1,0
1579296256,1,0
1579306113,1,0
1579308024,6,0
1579313816,0,1
1579315703,1,0
1579356517,0,1
1579362282,0,1
1579366336,0,1
1579368272,1,0
1579381379,0,2
1579387484,1,0
1579391545,0,1
1579393476,0,5
1579395373,2,1
1579403576,0,1
1579407394,1,0
1579416979,1,1
1579436894,1,0
1579439827,1,0
1579445528,1,0
1579451291,1,0
1579455389,0,1
1579466896,1,0
1579468829,0,1
1579470731,1,0
1579474570,1,1
1579479614,1,0
1579481550,0,2
1579493325,1,1
1579501236,1,0
1579512985,0,1
1579514894,0,4
1579520657,0,1
1579524505,0,2
1579532175,0,1
1579538180,1,1
1579542036,1,0
1579551856,1,0
1579555718,2,0
1579557824,2,0
1579561950,1,1
1579563858,4,1
1579579488,0,1
1579581378,1,0
1579589086,1,1
1579596739,1,0
1579600588,1,0
1579606576,2,0
1579610415,1,0
1579614254,1,0
1579616432,0,1
1579622180,1,2
1579624127,0,2
1579628172,1,1
1579632019,1,0
1579635860,4,0
1579638025,2,1
1579641857,1,0
1579643774,0,2
1579649776,0,2
1579655540,2,0
1579661300,0,2
1579673786,0,1
1579679533,0,1
1579687428,0,1
1579695393,0,1
1579697316,0,3
1579699226,1,0
1579704984,2,0
1579706927,0,2
1579709107,2,1
1579719146,1,1
1579721080,0,1
1579727158,1,1
1579730930,0,2
1579738576,1,0
1579742449,0,2
1579748197,1,0
1579758047,0,1
1579769560,0,1
1579771482,2,0
1579781573,1,0
1579783459,1,0
1579785430,1,0
1579789225,1,0
1579791217,0,1
1579793063,0,1
1579795003,0,1
1579804820,0,1
1579807021,1,0
1579812745,1,0
1579814662,0,1
1579818497,1,0
1579820736,1,0
1579824494,1,1
1579826415,1,0
1579832197,1,0
1579834098,0,1
1579847793,1,0
1579859317,0,1
1579868895,0,2
1579873089,0,2
1579886656,1,0
1579893637,0,1
1579899380,0,1
1579903383,1,0
1579905385,0,1
1579907251,0,1
1579911142,0,1
1579913081,0,1
1579916915,2,0
1579918814,0,1
1579943086,1,1
1579950750,1,0
1579964174,0,1
1579968198,1,0
1579970191,1,0
1579974045,0,1
1579975940,1,0
1579979796,1,0
1579981704,1,0
1579989392,0,1
1580002816,1,2
1580004748,0,1
1580028020,0,1
1580031862,0,1
1580033776,1,0
1580041465,1,0
1580045292,1,0
1580055149,0,1
1580057073,0,1
1580058985,1,0
1580064737,0,1
1580068591,1,0
1580079417,1,0
1580081296,1,0
1580089214,0,1
1580104600,1,0
1580108697,0,1
1580110577,1,0
1580114433,0,1
1580122355,0,1
1580128098,0,1
1580136063,0,2
1580145856,0,1
1580154731,0,1
1580156657,1,0
1580158593,1,0
1580166760,1,3
1580190019,0,1
1580221716,1,0
1580223888,0,1
1580225779,1,1
1580227731,0,2
1580229615,0,1
1580235409,1,0
1580241137,2,0
1580243058,0,1
1580246931,1,0
1580249123,1,0
1580252914,2,0
1580281938,2,0
1580312656,0,1
1580314578,1,0
1580318416,2,0
1580322294,1,1
1580324173,0,1
1580334775,0,2
1580336683,1,0
1580338576,0,2
1580348442,1,0
1580361870,1,0
1580365952,2,2
1580379378,1,0
1580383221,2,0
1580387059,1,0
1580400526,0,2
1580404365,1,0
1580406368,0,1
1580410095,0,1
1580413932,1,0
1580419692,0,1
1580423790,1,1
1580449000,1,0
1580452813,1,1
1580464590,0,1
1580468611,0,1
1580470573,0,1
1580474420,0,1
1580484016,1,0
1580487890,1,1
1580491901,0,1
1580494011,0,1
1580499881,0,1
1580509476,0,1
1580511388,1,0
1580516425,1,0
1580535634,0,1
1580539503,0,1
1580550987,1,0
1580556987,1,0
1580559165,1,0
1580567083,1,0
1580570898,0,1
1580576927,2,0
1580584862,1,0
1580596593,0,1
1580598504,0,1
1580602392,0,1
1580635213,1,0
1580652748,1,1
1580664256,0,2
1580676031,0,1
1580679881,1,0
1580705315,1,0
1580712988,1,0
1580722822,0,1
1580724757,1,0
1580726662,0,1
1580730514,1,2
1580748021,0,1
1580777062,1,0
1580784844,0,1
1580790496,1,1
1580798418,0,1
1580800468,1,0
1580804178,0,3
1580806005,1,1
1580813560,1,0
1580815468,2,0
1580817997,2,1
1580819861,1,0
1580829415,1,1
1580833274,1,0
1580847177,2,0
1580849059,1,0
1580854830,1,0
1580876177,1,1
1580878112,1,0
1580891783,1,0
1580897541,0,1
1580899486,1,0
1580901380,1,1
1580903315,0,2
1580905215,0,1
1580909057,0,1
1580916035,1,1
1580917937,0,1
1580919858,1,1
