DateTime,AddedIPs,RemovedIPs
1579248755,1,6
1579249469,2,0
1579250195,0,3
1579250925,2,4
1579251624,6,6
1579253064,6,5
1579253782,4,0
1579254510,0,2
1579255239,2,3
1579255950,4,0
1579256671,2,3
1579257388,3,3
1579258106,4,0
1579258824,2,2
1579259551,3,3
1579260264,1,2
1579261232,1,1
1579261941,0,2
1579262698,1,7
1579263401,2,3
1579264107,1,3
1579264825,6,2
1579265546,2,7
1579267008,5,2
1579267711,1,2
1579268431,2,3
1579269150,3,1
1579269866,1,0
1579270600,1,3
1579271301,3,0
1579272031,3,2
1579272995,5,4
1579273954,4,0
1579274662,2,2
1579275387,2,3
1579276110,5,2
1579276834,2,7
1579277543,6,0
1579278274,2,1
1579278984,1,4
1579279707,3,7
1579280426,4,1
1579281400,1,7
1579282116,3,1
1579282828,2,4
1579283545,1,0
1579284522,3,4
1579285211,2,0
1579285937,5,5
1579286664,4,2
1579287369,4,2
1579288126,1,2
1579288828,1,0
1579289559,2,3
1579290268,2,2
1579290984,2,1
1579291717,2,6
1579292424,3,5
1579293159,3,4
1579293868,3,2
1579294583,2,0
1579295315,3,5
1579296025,2,2
1579296747,1,2
1579297471,0,4
1579298185,3,2
1579298917,0,2
1579299624,4,3
1579300349,2,0
1579301077,3,4
1579301784,3,3
1579302758,6,1
1579303473,1,2
1579304197,4,0
1579304908,3,1
1579305624,2,2
1579306345,5,0
1579307069,1,8
1579307786,2,2
1579308516,4,3
1579309224,3,4
1579309951,3,5
1579310679,4,6
1579311383,4,8
1579312106,4,3
1579312828,2,3
1579313802,3,2
1579314501,5,10
1579315227,8,10
1579315942,5,7
1579316670,7,6
1579317387,6,8
1579318107,10,4
1579318829,3,8
1579319547,7,4
1579320515,8,8
1579321231,4,5
1579321947,3,0
1579322669,4,8
1579323386,2,0
1579324109,2,4
1579324823,3,3
1579325545,1,2
1579326264,2,5
1579326981,1,0
1579327718,2,1
1579328422,3,0
1579329153,1,4
1579329864,2,1
1579330588,1,5
1579331556,2,1
1579332266,3,2
1579332989,1,1
1579333705,3,0
1579334438,0,2
1579335380,3,0
1579336085,2,4
1579336820,2,0
1579337527,3,3
1579338266,4,1
1579338971,5,3
1579339691,2,0
1579340409,0,5
1579341128,4,2
1579342104,2,1
1579342807,2,2
1579343531,3,4
1579344254,2,2
1579344967,1,5
1579345694,4,3
1579346418,6,2
1579347131,1,1
1579347860,6,3
1579348570,1,4
1579349293,2,2
1579350015,2,2
1579350732,4,2
1579351454,5,2
1579352166,1,2
1579352918,0,1
1579353628,5,2
1579354353,5,2
1579355065,1,3
1579355782,3,5
1579356509,3,2
1579357223,2,3
1579357971,3,4
1579358667,4,6
1579359382,5,2
1579360111,0,3
1579360821,1,2
1579361553,3,1
1579362271,0,1
1579362982,2,1
1579363704,0,4
1579364425,6,5
1579365150,4,3
1579365871,1,5
1579366583,5,4
1579367316,3,3
1579368025,3,2
1579368761,1,3
1579369467,1,6
1579370188,2,2
1579370907,0,3
1579371623,1,2
1579372347,1,4
1579373065,1,2
1579373782,1,3
1579374503,3,3
1579375222,2,4
1579375952,3,0
1579376667,1,1
1579377382,4,4
1579378120,1,3
1579378827,1,3
1579379547,5,1
1579380264,0,4
1579380986,2,2
1579381710,1,3
1579382422,3,3
1579383152,1,3
1579383876,3,0
1579384572,3,4
1579385287,2,2
1579386013,4,2
1579386742,4,2
1579387469,3,3
1579388166,2,3
1579388915,1,4
1579389625,2,0
1579390345,5,2
1579391064,1,1
1579391805,0,1
1579394186,13,17
1579394908,3,0
1579395659,2,2
1579396345,3,0
1579397066,8,15
1579397782,2,2
1579398509,5,1
1579399950,4,12
1579400664,5,11
1579401382,11,6
1579402113,5,9
1579402828,7,4
1579403552,6,0
1579404302,1,10
1579404981,8,0
1579405711,5,13
1579406425,3,5
1579407146,6,3
1579407874,3,6
1579408582,3,0
1579409311,2,5
1579410029,1,2
1579410760,0,1
1579416502,18,18
1579423710,26,23
1579431634,31,22
1579438825,20,25
1579446041,24,16
1579453225,22,26
1579461140,21,26
1579468109,26,32
1579475541,21,31
1579482732,18,29
1579490177,46,62
1579496915,37,48
1579504584,15,20
1579512006,22,27
1579519208,16,30
1579527142,21,19
1579534585,27,14
1579541287,21,29
1579548765,25,24
1579556652,26,29
1579563394,22,29
1579571315,33,36
1579578727,60,65
1579586166,25,34
1579593370,23,22
1579600575,25,16
1579608021,21,37
1579615942,29,30
1579622902,22,17
1579630109,19,33
1579637563,23,16
1579644735,16,31
1579652649,23,27
1579659853,35,40
1579667068,56,76
1579674253,24,32
1579682170,19,28
1579689616,19,30
1579696329,16,25
1579703535,20,23
1579710820,23,28
1579718664,28,33
1579725862,32,37
1579733062,20,28
1579740264,24,27
1579747471,40,53
1579754674,39,63
1579761877,22,27
1579769293,15,15
1579776517,26,29
1579784435,17,23
1579791614,18,6
1579798832,19,23
1579806523,17,34
1579813690,24,33
1579821148,33,29
1579828330,21,24
1579835054,47,49
1579842502,40,49
1579850407,24,25
1579857605,22,14
1579864808,19,79
1579872039,28,17
1579879933,19,31
1579887150,18,27
1579894349,24,14
1579901782,17,24
1579908508,21,23
1579916189,26,43
1579923379,52,52
1579930581,31,43
1579938505,22,13
1579945712,25,22
1579952909,17,24
1579960838,32,17
1579968028,28,29
1579975220,17,27
1579983131,18,17
1579990334,24,23
1579997781,20,49
1580005206,34,40
1580012414,54,70
1580019671,19,34
1580027533,35,20
1580034732,15,29
1580041931,23,19
1580049132,28,24
1580056345,29,19
1580063546,20,24
1580070747,33,16
1580078965,22,20
1580085366,31,31
1580092567,40,47
1580099767,70,38
1580106967,24,22
1580114411,21,20
1580121862,15,20
1580129066,28,19
1580136265,16,18
1580143468,20,30
1580151389,24,14
1580158581,24,22
1580165537,19,19
1580172978,40,39
1580180179,44,62
1580187628,43,33
1580194853,27,24
1580202744,15,19
1580209944,20,19
1580217146,21,35
1580224118,16,12
1580231550,21,27
1580239218,16,21
1580246419,14,21
1580253630,22,23
1580261546,30,36
1580268742,52,66
1580275943,42,23
1580283245,17,18
1580290568,28,15
1580297771,16,18
1580304982,16,28
1580312905,15,17
1580320830,19,17
1580328031,27,29
1580335232,20,27
1580343156,20,29
1580350346,36,45
1580358261,54,45
1580365463,25,25
1580372680,18,19
1580380580,17,19
1580388025,21,31
1580395463,24,16
1580402186,23,17
1580409627,30,23
1580417068,26,29
1580424502,27,53
1580432409,20,29
1580439367,48,48
1580446567,44,42
1580453779,30,24
1580461702,20,21
1580468907,27,22
1580476354,17,18
1580484261,29,18
1580491704,23,16
1580499139,26,14
1580506353,29,25
1580514262,23,56
1580521464,28,52
1580528180,47,30
1580535384,35,16
1580542821,23,0
1580550259,18,14
1580557944,26,34
1580565379,30,0
1580572581,22,21
1580579782,19,26
1580586984,24,18
1580594920,28,22
1580602347,23,28
1580609546,34,36
1580617460,43,80
1580623980,39,0
1580632585,38,25
1580639786,32,25
1580646980,24,28
1580654180,29,24
1580661381,20,22
1580669063,16,22
1580676262,25,21
1580683707,20,0
1580691613,22,65
1580698820,45,62
1580706024,33,24
1580713946,23,22
1580721148,17,17
1580729061,26,20
1580736261,20,19
1580742767,24,15
1580750662,16,19
1580757863,31,19
1580765783,22,22
1580772970,23,37
1580780187,39,49
1580787874,51,42
1580794586,35,22
1580802490,18,18
1580809925,27,16
1580817129,21,19
1580824837,28,24
1580832256,22,21
1580839691,18,14
1580847162,26,26
1580854335,16,23
1580861550,27,41
1580868752,33,58
1580876665,74,37
1580884570,24,20
1580891772,15,18
1580898969,21,14
1580906893,24,20
1580914095,14,20
1580921292,26,26
1580928494,22,16
1580936178,24,21
1580943382,23,21
1580950833,32,48
1580958744,48,59
1580965947,40,32
1580973148,32,13
1580980348,24,17
1580987552,19,16
1580995452,23,30
1581002901,22,20
1581010367,28,25
1581018262,29,20
1581025701,16,32
1581032908,24,18
1581040105,36,44
1581048023,54,54
1581055231,28,26
1581063143,17,22
1581070343,28,20
1581078261,31,17
1581085461,18,22
1581092667,16,25
1581100583,23,18
1581107785,27,29
1581114980,16,21
1581122180,25,29
1581129382,40,52
1581136822,43,37
1581144269,20,14
1581151461,17,21
1581158661,23,14
1581166578,31,25
1581173784,25,19
1581180981,20,24
1581188910,22,19
1581196342,24,30
1581203546,25,25
1581210743,37,45
1581218662,48,49
1581225865,38,37
1581233061,12,18
1581240266,16,14
1581248181,32,23
1581255383,25,25
1581262581,34,22
1581270502,25,23
1581277707,27,27
1581285381,26,37
1581292107,22,28
1581300750,42,51
1581307953,55,37
1581315145,34,20
1581322820,21,18
1581329549,19,16
1581337465,19,22
1581344664,22,30
1581351878,19,22
1581359782,27,25
1581366980,28,15
1581374182,16,20
1581381385,16,41
1581389300,44,53
1581396504,44,40
1581403704,29,15
1581411151,19,22
1581418579,22,15
1581425779,34,29
1581432981,22,11
1581440904,22,18
1581448111,26,15
1581455312,19,20
1581462515,33,26
1581470436,29,33
1581477618,50,70
1581485552,31,29
1581492264,29,20
1581500169,24,24
