DateTime,AddedIPs,RemovedIPs
1579250925,82,35
1579251624,47,85
1579252353,94,28
1579253064,30,131
1579253782,98,52
1579254510,47,77
1579255239,69,49
1579255950,70,927
1579256671,263,69
1579257388,115,62
1579258106,122,48
1579258824,120,39
1579259551,58,108
1579260264,101,47
1579261232,67,81
1579261941,119,75
1579262698,99,53
1579263401,68,80
1579264107,59,73
1579264825,114,57
1579265546,92,55
1579266269,68,99
1579267008,100,40
1579267711,69,39
1579268431,36,53
1579269150,52,40
1579269866,43,47
1579270600,51,62
1579271301,104,45
1579272031,45,45
1579272995,53,69
1579273954,84,79
1579274662,50,49
1579275387,42,37
1579276110,38,59
1579276834,61,36
1579277543,45,51
1579278274,74,28
1579278984,33,91
1579279707,50,51
1579280426,55,55
1579281400,88,71
1579282116,67,72
1579282828,43,34
1579283545,47,71
1579284522,73,30
1579285211,72,33
1579285937,39,99
1579286664,56,42
1579287369,49,59
1579288126,46,62
1579288828,69,44
1579289559,81,41
1579290268,45,63
1579290984,45,48
1579291717,43,63
1579292424,43,41
1579293159,50,24
1579293868,33,32
1579294583,79,26
1579295315,86,71
1579296025,71,26
1579296747,28,69
1579297471,39,32
1579298185,66,23
1579298917,30,71
1579299624,78,38
1579300349,38,44
1579301077,41,66
1579301784,33,18
1579302758,32,54
1579303473,35,38
1579304197,40,24
1579304908,30,47
1579305624,58,41
1579306345,37,51
1579307069,42,36
1579307786,37,42
1579308516,41,30
1579309224,31,27
1579309951,27,28
1579310679,29,36
1579311383,51,43
1579312106,32,42
1579312828,29,23
1579313802,54,31
1579314501,65,20
1579315227,32,80
1579315942,44,34
1579316670,56,49
1579317387,37,75
1579318107,83,33
1579318829,50,74
1579319547,76,45
1579320515,38,86
1579321231,31,70
1579321947,69,63
1579322669,55,33
1579323386,30,62
1579324109,95,31
1579324823,27,83
1579325545,80,48
1579326264,50,61
1579326981,72,43
1579327718,40,63
1579328422,45,38
1579329153,42,39
1579329864,23,45
1579330588,39,41
1579331556,43,38
1579332266,34,85
1579332989,62,84
1579333705,132,33
1579334438,73,90
1579335380,72,44
1579336085,28,39
1579336820,65,58
1579337527,55,66
1579338266,29,33
1579338971,68,55
1579339691,52,82
1579340409,53,36
1579341128,43,45
1579342104,39,46
1579342807,38,54
1579343531,91,37
1579344254,39,34
1579344967,69,47
1579345694,30,56
1579346418,47,37
1579347131,65,28
1579347860,23,82
1579348570,52,59
1579349293,66,28
1579350015,30,47
1579350732,83,34
1579351454,53,86
1579352166,41,44
1579352918,53,24
1579353628,38,43
1579354353,47,28
1579355065,30,38
1579355782,35,35
1579356509,43,26
1579357223,63,47
1579357971,33,60
1579358667,41,49
1579359382,41,60
1579360111,65,23
1579360821,45,50
1579361553,52,48
1579362271,47,81
1579362982,46,50
1579363704,47,46
1579364425,98,49
1579365150,57,66
1579365871,27,37
1579366583,37,48
1579367316,37,56
1579368025,109,34
1579368761,43,73
1579369467,71,38
1579370188,37,97
1579370907,60,38
1579371623,40,37
1579372347,27,33
1579373065,32,40
1579373782,35,57
1579374503,60,47
1579375222,43,49
1579375952,51,50
1579376667,73,46
1579377382,40,48
1579378120,28,35
1579378827,73,31
1579379547,31,69
1579380264,26,35
1579380986,78,37
1579381710,39,79
1579382422,42,39
1579383152,32,35
1579383876,30,46
1579384572,50,16
1579385287,24,50
1579386013,77,24
1579386742,30,46
1579387469,40,102
1579388166,91,51
1579388915,53,64
1579389625,27,57
1579390345,69,47
1579391064,50,61
1579391805,76,75
1579394186,94,108
1579394908,79,42
1579395659,35,39
1579396345,39,81
1579397066,82,29
1579397782,24,21
1579398509,26,25
1579399223,14,89
1579399950,57,65
1579400664,104,36
1579401382,45,59
1579402113,51,80
1579402828,75,34
1579403552,28,38
1579404302,30,37
1579404981,36,38
1579405711,41,57
1579406425,46,75
1579407146,65,40
1579407874,40,71
1579408582,40,33
1579409311,30,68
1579410029,105,37
1579410760,37,105
1579416502,129,79
1579423710,115,94
1579431634,151,104
1579438825,99,146
1579446041,131,107
1579453225,107,106
1579461140,121,101
1579468109,133,96
1579475541,81,156
1579482732,138,106
1579490177,89,215
1579496915,189,102
1579504584,97,79
1579512006,94,136
1579519208,134,79
1579527142,100,150
1579534585,126,97
1579541287,147,89
1579548765,105,111
1579556652,121,114
1579563394,113,145
1579571315,100,114
1579578727,118,128
1579586166,114,97
1579593370,87,125
1579600575,144,66
1579608021,92,119
